exercise_name,parent,leaf,ontology,n,min,max,mode,mean,stddev,score
py_rent_car2,Operator,=,parser,5,5,5,5,5.000000,0.000000,5
py_rent_car2,ArtithmeticOperator,/,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,ArtithmeticOperator,*,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,ArtithmeticOperator,-,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,ArtithmeticOperator,+,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,ArtithmeticOperator,**,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,ArtithmeticOperator,//,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,ArtithmeticOperator,Modulus,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,MembershipOperator,in,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,LogicalOperator,or,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,LogicalOperator,and,parser,5,5,5,5,5.000000,0.000000,5
py_rent_car2,LogicalOperator,not,parser,5,5,5,5,5.000000,0.000000,5
py_rent_car2,ComparisonOperator,Less,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,ComparisonOperator,NotEqual,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,ComparisonOperator,LessOrEqual,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,ComparisonOperator,LargerOrEqual,parser,5,5,5,5,5.000000,0.000000,5
py_rent_car2,ComparisonOperator,Larger,parser,4,0,0,0,0.000000,0.000000,0
py_rent_car2,ComparisonOperator,==,parser,5,5,5,5,5.000000,0.000000,5
py_rent_car2,Statement,ExpressionStatement,parser,5,5,5,5,5.000000,0.000000,5
py_rent_car2,DefinitionStatement,FunctionDefinition,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,DefinitionStatement,ClassDefinition,parser,5,1,4,4,3.000000,1.414214,4
py_rent_car2,JumpStatement,ContinueStatement,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,JumpStatement,ReturnStatement,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,JumpStatement,BreakStatement,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,JumpStatement,PassStatement,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,IterationStatement,ForStatement,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,IterationStatement,WhileStatement,parser,5,0,0,0,0.000000,0.000000,0
py_rent_car2,AssignmentStatement,SimpleAssignmentStatement,parser,5,5,5,5,5.000000,0.000000,5
