batch_68d3cb5b8b388190bb77bc6c4c8d891b,parser,3,0.8903,0.8047,0.8315,0.7542,0.1515,0.9130,0.8127,0.8600,0.7544
batch_68d3cb5c09fc8190ad9a7ad705ba21bf,parser,3,0.8921,0.8192,0.8417,0.7641,0.1402,0.9116,0.8250,0.8661,0.7639
batch_68d3cb5c83a481909e37f848d4dec458,parser,3,0.8988,0.8212,0.8468,0.7707,0.1667,0.9149,0.8256,0.8679,0.7666
batch_68d3cb5d1d1481909c565696730649fd,parser,3,0.9005,0.7922,0.8292,0.7489,0.1667,0.9193,0.8002,0.8556,0.7477
batch_68d3cb5d8858819093cbc126be2b8a9e,parser,3,0.8973,0.8023,0.8352,0.7548,0.1477,0.9154,0.8065,0.8575,0.7505
batch_68d3cb5b8b388190bb77bc6c4c8d891b,parser,4,0.8953,0.8017,0.8327,0.7560,0.1439,0.9198,0.8099,0.8614,0.7565
batch_68d3cb5c09fc8190ad9a7ad705ba21bf,parser,4,0.9002,0.8153,0.8436,0.7675,0.1477,0.9212,0.8219,0.8687,0.7679
batch_68d3cb5c83a481909e37f848d4dec458,parser,4,0.9069,0.8188,0.8494,0.7747,0.1667,0.9249,0.8233,0.8711,0.7717
batch_68d3cb5d1d1481909c565696730649fd,parser,4,0.9056,0.7910,0.8309,0.7518,0.1667,0.9264,0.7991,0.8581,0.7514
batch_68d3cb5d8858819093cbc126be2b8a9e,parser,4,0.9035,0.7996,0.8368,0.7574,0.1477,0.9220,0.8039,0.8589,0.7527
batch_68d3cb5b8b388190bb77bc6c4c8d891b,parser,4,0.8953,0.8017,0.8327,0.7560,0.1439,0.9198,0.8099,0.8614,0.7565
batch_68d3cb5c09fc8190ad9a7ad705ba21bf,parser,4,0.9002,0.8153,0.8436,0.7675,0.1477,0.9212,0.8219,0.8687,0.7679
batch_68d3cb5c83a481909e37f848d4dec458,parser,4,0.9069,0.8188,0.8494,0.7747,0.1667,0.9249,0.8233,0.8711,0.7717
batch_68d3cb5d1d1481909c565696730649fd,parser,4,0.9056,0.7910,0.8309,0.7518,0.1667,0.9264,0.7991,0.8581,0.7514
batch_68d3cb5d8858819093cbc126be2b8a9e,parser,4,0.9035,0.7996,0.8368,0.7574,0.1477,0.9220,0.8039,0.8589,0.7527
splits_no_window_code_with_problems/chars_bin=0,parser,3,0.9047,0.9151,0.9052,0.8520,0.3030,0.9158,0.9124,0.9141,0.8418
splits_no_window_code_with_problems/chars_bin=1,parser,3,0.8833,0.9089,0.8936,0.8403,0.1145,0.8921,0.9284,0.9099,0.8347
splits_no_window_code_with_problems/comments_bin=0,parser,3,0.8954,0.9030,0.8945,0.8378,0.2609,0.9089,0.8997,0.9043,0.8253
splits_no_window_code_with_problems/comments_bin=1,parser,3,0.8926,0.9219,0.9050,0.8555,0.1520,0.8949,0.9413,0.9175,0.8476
splits_no_window_code_with_problems/length_lines_bin=0,parser,3,0.9086,0.9185,0.9090,0.8571,0.3217,0.9183,0.9159,0.9171,0.8469
splits_no_window_code_with_problems/length_lines_bin=1,parser,3,0.8767,0.9043,0.8881,0.8332,0.0750,0.8886,0.9269,0.9074,0.8305
splits_no_window_code_with_problems/chars_bin=0,parser,4,0.9109,0.9143,0.9083,0.8568,0.3030,0.9246,0.9117,0.9181,0.8486
splits_no_window_code_with_problems/chars_bin=1,parser,4,0.8915,0.9079,0.8974,0.8464,0.1145,0.9002,0.9275,0.9136,0.8410
splits_no_window_code_with_problems/comments_bin=0,parser,4,0.9027,0.9022,0.8981,0.8435,0.2609,0.9181,0.8991,0.9085,0.8324
splits_no_window_code_with_problems/comments_bin=1,parser,4,0.8996,0.9209,0.9081,0.8606,0.1520,0.9026,0.9402,0.9210,0.8536
splits_no_window_code_with_problems/length_lines_bin=0,parser,4,0.9148,0.9177,0.9121,0.8619,0.3217,0.9270,0.9152,0.9211,0.8537
splits_no_window_code_with_problems/length_lines_bin=1,parser,4,0.8851,0.9032,0.8919,0.8395,0.0750,0.8968,0.9259,0.9111,0.8368
splits_no_window_code_with_problems/chars_bin=0,parser,5,0.9335,0.8684,0.8935,0.8330,0.2652,0.9472,0.8705,0.9072,0.8302
splits_no_window_code_with_problems/chars_bin=1,parser,5,0.9045,0.8943,0.8969,0.8465,0.1298,0.9139,0.9152,0.9145,0.8425
splits_no_window_code_with_problems/comments_bin=0,parser,5,0.9217,0.8666,0.8874,0.8262,0.2246,0.9383,0.8678,0.9017,0.8210
splits_no_window_code_with_problems/comments_bin=1,parser,5,0.9162,0.8975,0.9038,0.8547,0.1680,0.9168,0.9231,0.9199,0.8517
splits_no_window_code_with_problems/length_lines_bin=0,parser,5,0.9354,0.8761,0.8986,0.8404,0.2937,0.9474,0.8778,0.9113,0.8370
splits_no_window_code_with_problems/length_lines_bin=1,parser,5,0.8996,0.8875,0.8912,0.8389,0.0833,0.9113,0.9127,0.9120,0.8383
