exercise_name,educational_list,parser_list
ae_adl_arithmetics2,"[Addition, ArithmeticOperation, AssigningVariable, CallingFunctionLibrary, CallingStandardFunction, CreatingString, Division, HandlingFloat, HandlingFunction, HandlingStandardFunction, HandlingString, ManagingVariable, Multiplication, Printing, Python, Substraction, TransformingToFloatType]","[*, +, -, /, =, ArithmeticExpression, ArtithmeticOperator, AssignmentStatement, BinaryOperation, BuiltInFunction, Call, FloatLiteral, FunctionCall, IntegerLiteral, Literal, NumericLiteral, Operator, SimpleAssignmentStatement, StringLiteral, print()]"
ae_adl_comparison,"[ArithmeticOperation, AssigningVariable, BooleanEvaluating, CallingFunctionLibrary, CallingStandardFunction, CheckingCondition, FindMaximum, FindMinimum, HandlingFunction, HandlingStandardFunction, ManagingVariable, Printing, Python]","[=, ==, ArithmeticExpression, AssignmentStatement, BinaryOperation, BooleanExpression, BooleanLiteral, BuiltInFunction, Call, ComparisonExpression, ComparisonOperator, ExpressionStatement, FunctionCall, IntegerLiteral, Larger, Less, Literal, LogicalExpression, NotEqual, NumericLiteral, Operator, SimpleAssignmentStatement, Statement, StringLiteral, print()]"
ae_adl_dict1,"[AccessingDictionary, AddingItemToDictionary, AssigningVariable, BooleanEvaluating, CallingFunctionLibrary, CallingStandardFunction, CheckingCondition, CheckingForItem, CreatingDictionary, DefiningStandardFunction, FindingLength, HandlingDictionary, HandlingFunction, HandlingStandardFunction, IfElseChecking, ManagingVariable, Printing, Python, ReplacingDictionaryElement, UpdatingVariable]","[=, AssignmentStatement, BooleanExpression, BuiltInFunction, Call, ComparisonExpression, ConditionalStatement, DefinitionStatement, DictLiteral, ExpressionStatement, FunctionCall, FunctionDefinition, IfElseStatement, IndexingExpression, Literal, LiteralCollection, LogicalExpression, MembershipOperator, Operator, SimpleAssignmentStatement, Statement, StringLiteral, SubscriptExpression, dict(), in, len(), print()]"
ae_adl_dict2,"[AccessingDictionary, AddingItemToDictionary, Addition, ArithmeticOperation, AssigningVariable, CallingFunctionLibrary, CallingStandardFunction, CreatingDictionary, CreatingString, DefiningStandardFunction, FormattingString, HandlingDictionary, HandlingFunction, HandlingStandardFunction, HandlingString, IndexingString, ManagingVariable, Printing, Python, ReplacingDictionaryElement, UpdatingVariable]","[+, =, ArithmeticExpression, ArtithmeticOperator, AssignmentStatement, AugmentedAssignmentStatement, BinaryOperation, BuiltInFunction, Call, DefinitionStatement, DictLiteral, ExpressionStatement, FunctionCall, FunctionDefinition, IndexingExpression, IntegerLiteral, Literal, LiteralCollection, NumericLiteral, Operator, SimpleAssignmentStatement, Statement, StringLiteral, SubscriptExpression, dict(), print()]"
ae_adl_dict3,"[AccessingDictionary, AddingItemToDictionary, ArithmeticOperation, AssigningVariable, CallingFunctionLibrary, CallingStandardFunction, CheckingInForLoop, CreatingDictionary, CreatingString, DefiningStandardFunction, FindMaximum, HandlingDictionary, HandlingFunction, HandlingStandardFunction, HandlingString, IfCheckingInForLoop, IndexingDictionary, ManagingVariable, NonNestedIteration, Printing, Python, SingleForLoopIteration, UpdatingVariable]","[=, ==, ArithmeticExpression, AssignmentStatement, BinaryOperation, BooleanExpression, BuiltInFunction, Call, ComparisonExpression, ComparisonOperator, ConditionalStatement, DefinitionStatement, DictLiteral, DictionaryMethod, ExpressionStatement, ForStatement, FunctionCall, FunctionDefinition, IfStatement, IndexingExpression, IntegerLiteral, IterationStatement, Larger, Literal, LiteralCollection, LogicalExpression, LogicalOperator, MembershipOperator, NoneLiteral, NumericLiteral, Operator, SimpleAssignmentStatement, Statement, StringLiteral, SubscriptExpression, dict(), in, keys(), or, print()]"
ae_adl_file1,"[Addition, ArithmeticOperation, AssigningVariable, CallingFunctionLibrary, CallingStandardFunction, ClosingFile, DefiningStandardFunction, Division, ForLoopWith+=, ForLoopWithUpdate, HandlingFile, HandlingFunction, HandlingInput, HandlingInteger, HandlingStandardFunction, ManagingVariable, NonNestedIteration, OpeningFile, Printing, Python, ReadingLine, SingleForLoopIteration, TransformingToIntType, UpdatingVariable]","[+, /, =, ArithmeticExpression, ArtithmeticOperator, AssignmentStatement, BinaryOperation, BuiltInFunction, Call, DefinitionStatement, ExpressionStatement, FileMethod, ForStatement, FunctionCall, FunctionDefinition, IntegerLiteral, IterationStatement, Literal, MembershipOperator, NumericLiteral, Operator, SimpleAssignmentStatement, Statement, StringLiteral, close(), in, int(), open(), print()]"
ae_adl_file2,"[AssigningVariable, CallingFunctionLibrary, CallingOOPMethod, CallingStandardFunction, CheckingCondition, CheckingInForLoop, ClosingFile, CreatingList, CreatingString, DefiningStandardFunction, HandlingFile, HandlingFunction, HandlingInput, HandlingList, HandlingObjectOrientedProgramming, HandlingStandardFunction, HandlingString, IfChecking, IfCheckingInForLoop, IndexingList, IndexingString, ManagingVariable, NonNestedIteration, OpeningFile, Printing, Python, ReadingLine, ReplacingStringContent, SingleForLoopIteration, SplittingString, TrimmingString, UpdatingVariable]","[=, ==, AssignmentStatement, BooleanExpression, BuiltInFunction, Call, ComparisonExpression, ComparisonOperator, ConditionalStatement, DefinitionStatement, ExpressionStatement, FileMethod, ForStatement, FunctionCall, FunctionDefinition, IfStatement, IndexingExpression, IterationStatement, ListLiteral, Literal, LiteralCollection, LogicalExpression, MembershipOperator, Operator, SimpleAssignmentStatement, Statement, StringLiteral, StringMethod, SubscriptExpression, close(), in, open(), print(), rstrip(), split()]"
ae_adl_findmax,"[ArithmeticOperation, AssigningVariable, BooleanEvaluating, CallingFunctionLibrary, CallingStandardFunction, CheckingCondition, CheckingInForLoop, CreatingList, CreatingString, FindMaximum, HandlingFunction, HandlingList, HandlingStandardFunction, HandlingString, IfCheckingInForLoop, IndexingList, IndexingString, ManagingVariable, NonNestedIteration, Printing, Python, SingleForLoopIteration, UpdatingVariable]","[=, ArithmeticExpression, AssignmentStatement, BinaryOperation, BooleanExpression, BuiltInFunction, Call, ComparisonExpression, ComparisonOperator, ConditionalStatement, ExpressionStatement, ForStatement, FunctionCall, IfStatement, IndexingExpression, IntegerLiteral, IterationStatement, Larger, ListLiteral, Literal, LiteralCollection, LogicalExpression, NumericLiteral, Operator, SimpleAssignmentStatement, Statement, StringLiteral, SubscriptExpression, list(), print()]"
ae_adl_for,"[ArithmeticOperation, CallingFunctionLibrary, CallingStandardFunction, ForLoopWith*=, ForLoopWithUpdate, HandlingFunction, HandlingStandardFunction, Multiplication, NonNestedIteration, Printing, Python, SingleForLoopIteration]","[*, ArithmeticExpression, ArtithmeticOperator, BinaryOperation, BuiltInFunction, Call, ExpressionStatement, ForStatement, FunctionCall, IntegerLiteral, IterationStatement, Literal, MembershipOperator, NumericLiteral, Statement, StringLiteral, in, print(), range()]"
ae_adl_format1,"[AssigningVariable, CallingFunctionCallingFunction, CallingFunctionLibrary, CallingOOPMethod, CallingStandardFunction, FormattingString, HandlingFunction, HandlingFunctionCallingFunction, HandlingObjectOrientedProgramming, HandlingStandardFunction, HandlingString, ManagingVariable, NestedFunctionCall, Printing, Python]","[=, AssignmentStatement, BuiltInFunction, Call, ExpressionStatement, FunctionCall, IntegerLiteral, Literal, NumericLiteral, Operator, SimpleAssignmentStatement, Statement, StringLiteral, StringMethod, format(), print()]"
ae_adl_format2,"[AssigningVariable, CallingFunctionLibrary, CallingOOPMethod, CallingStandardFunction, FormattingString, HandlingFunction, HandlingObjectOrientedProgramming, HandlingStandardFunction, HandlingString, ManagingVariable, Printing, Python]","[=, AssignmentStatement, BuiltInFunction, Call, ExpressionStatement, FloatLiteral, FunctionCall, Literal, NumericLiteral, Operator, SimpleAssignmentStatement, Statement, StringLiteral, StringMethod, format(), print()]"
ae_adl_functions1,"[CallingFunctionCallingFunction, CallingFunctionLibrary, CallingStandardFunction, CreatingString, HandlingFunction, HandlingFunctionCallingFunction, HandlingStandardFunction, HandlingString, Printing, Python]","[BuiltInFunction, Call, DefinitionStatement, ExpressionStatement, FunctionCall, FunctionDefinition, Literal, Statement, StringLiteral, print()]"
ae_adl_functions2,"[Addition, ArithmeticOperation, AssigningVariable, CallingFunctionLibrary, CallingStandardFunction, CreatingString, DefiningStandardFunction, Division, HandlingFunction, HandlingStandardFunction, HandlingString, ManagingVariable, Printing, Python]","[+, /, =, ArithmeticExpression, ArtithmeticOperator, AssignmentStatement, BinaryOperation, BuiltInFunction, Call, DefinitionStatement, FunctionCall, FunctionDefinition, IntegerLiteral, JumpStatement, Literal, NumericLiteral, Operator, ReturnStatement, SimpleAssignmentStatement, StringLiteral, print()]"
ae_adl_functions3,"[Addition, ArithmeticOperation, AssigningVariable, CallingFunctionCallingFunction, CallingFunctionLibrary, CallingStandardFunction, DefiningStandardFunction, HandlingFloat, HandlingFunction, HandlingFunctionCallingFunction, HandlingStandardFunction, ManagingVariable, Multiplication, NestedFunctionCall, Printing, Python, Substraction, TransformingToFloatType]","[*, +, -, =, ArithmeticExpression, ArtithmeticOperator, AssignmentStatement, BinaryOperation, BuiltInFunction, Call, DefinitionStatement, ExpressionStatement, FloatLiteral, FunctionCall, FunctionDefinition, JumpStatement, Literal, NumericLiteral, Operator, ReturnStatement, SimpleAssignmentStatement, Statement, StringLiteral, float(), print()]"
ae_adl_greet,"[AssigningVariable, CallingFunctionLibrary, CallingStandardFunction, CreatingString, HandlingFunction, HandlingInput, HandlingStandardFunction, HandlingString, ManagingVariable, Printing, Python]","[=, AssignmentStatement, BuiltInFunction, Call, ExpressionStatement, FunctionCall, Literal, Operator, SimpleAssignmentStatement, Statement, StringLiteral, input(), print()]"
ae_adl_hello,"[CallingFunctionLibrary, CallingStandardFunction, CreatingString, HandlingFunction, HandlingStandardFunction, HandlingString, Printing, Python]","[BuiltInFunction, Call, ExpressionStatement, FunctionCall, Literal, Statement, StringLiteral, print()]"
