exercise_name,parent,leaf,score
py_fail_course,ClassMethod,__init()__,0
py_fail_course,StringMethod,replace(),0
py_fail_course,StringMethod,join(),0
py_fail_course,StringMethod,capitalize(),0
py_fail_course,StringMethod,split(),0
py_fail_course,StringMethod,rstrip(),0
py_fail_course,StringMethod,lower(),0
py_fail_course,StringMethod,format(),0
py_fail_course,ListMethod,insert(),0
py_fail_course,ListMethod,pop(),0
py_fail_course,ListMethod,append(),0
py_fail_course,ListMethod,reverse(),0
py_fail_course,ListMethod,remove(),0
py_fail_course,DictionaryMethod,get(),0
py_fail_course,DictionaryMethod,items(),0
py_fail_course,DictionaryMethod,keys(),0
py_fail_course,DictionaryMethod,values(),0
py_fail_course,FileMethod,readline(),0
py_fail_course,FileMethod,read(),0
py_fail_course,FileMethod,close(),0
py_fail_course,Error,OSError,0
py_fail_course,Error,FileNotFoundError,0
py_fail_course,Error,TypeError,1
py_fail_course,Error,IndexError,0
py_fail_course,Error,AssertionError,0
py_fail_course,Error,IOError,1
py_fail_course,Error,ValueError,2
py_fail_course,Operator,=,5
py_fail_course,LogicalOperator,not,0
py_fail_course,LogicalOperator,or,5
py_fail_course,LogicalOperator,and,0
py_fail_course,ArtithmeticOperator,**,0
py_fail_course,ArtithmeticOperator,Modulus,0
py_fail_course,ArtithmeticOperator,/,0
py_fail_course,ArtithmeticOperator,//,0
py_fail_course,ArtithmeticOperator,+,0
py_fail_course,ArtithmeticOperator,-,0
py_fail_course,ArtithmeticOperator,*,0
py_fail_course,ComparisonOperator,<=,0
py_fail_course,ComparisonOperator,==,5
py_fail_course,ComparisonOperator,Larger,5
py_fail_course,ComparisonOperator,LargerOrEqual,0
py_fail_course,ComparisonOperator,Less,5
py_fail_course,ComparisonOperator,NotEqual,0
py_fail_course,MembershipOperator,in,0
py_fail_course,BuiltInFunction,round(),0
py_fail_course,BuiltInFunction,dict(),0
py_fail_course,BuiltInFunction,set(),0
py_fail_course,BuiltInFunction,int(),5
py_fail_course,BuiltInFunction,range(),0
py_fail_course,BuiltInFunction,min(),0
py_fail_course,BuiltInFunction,list(),0
py_fail_course,BuiltInFunction,open(),0
py_fail_course,BuiltInFunction,float(),0
py_fail_course,BuiltInFunction,abs(),0
py_fail_course,BuiltInFunction,next(),0
py_fail_course,BuiltInFunction,str(),2
py_fail_course,BuiltInFunction,len(),0
py_fail_course,BuiltInFunction,max(),0
py_fail_course,BuiltInFunction,tuple(),0
py_fail_course,BuiltInFunction,input(),5
py_fail_course,BuiltInFunction,print(),5
py_fail_course,Statement,ExpressionStatement,5
py_fail_course,DefinitionStatement,FunctionDefinition,0
py_fail_course,DefinitionStatement,ClassDefinition,0
py_fail_course,ImportStatement,Import,0
py_fail_course,ExceptionHandlingStatement,TryStatement,0
py_fail_course,ExceptionHandlingStatement,AssertStatement,0
py_fail_course,ExceptionHandlingStatement,RaiseStatement,0
py_fail_course,IterationStatement,ForStatement,0
py_fail_course,IterationStatement,WhileStatement,0
py_fail_course,ConditionalStatement,IfStatement,5
py_fail_course,ConditionalStatement,IfElifElseStatement,2
py_fail_course,ConditionalStatement,IfElifStatement,0
py_fail_course,ConditionalStatement,IfElseStatement,5
py_fail_course,AssignmentStatement,SimpleAssignmentStatement,5
py_fail_course,AssignmentStatement,AugmentedAssignmentStatement,0
py_fail_course,JumpStatement,BreakStatement,0
py_fail_course,JumpStatement,ReturnStatement,0
py_fail_course,JumpStatement,ContinueStatement,0
py_fail_course,JumpStatement,PassStatement,0
py_fail_course,SubscriptExpression,SlicingExpression,0
py_fail_course,SubscriptExpression,IndexingExpression,0
py_fail_course,Call,FunctionCall,5
py_fail_course,LogicalExpression,BooleanExpression,5
py_fail_course,LogicalExpression,ComparisonExpression,5
py_fail_course,ArithmeticExpression,BinaryOperation,1
py_fail_course,ArithmeticExpression,UnaryOperation,0
py_fail_course,Literal,BooleanLiteral,5
py_fail_course,Literal,StringLiteral,5
py_fail_course,Literal,NoneLiteral,0
py_fail_course,NumericLiteral,IntegerLiteral,5
py_fail_course,NumericLiteral,FloatLiteral,0
py_fail_course,LiteralCollection,SetLiteral,0
py_fail_course,LiteralCollection,ListLiteral,0
py_fail_course,LiteralCollection,DictLiteral,0
py_fail_course,LiteralCollection,TupleLiteral,0
py_fail_course,Python,FindingLength,0
py_fail_course,Python,CheckingForItem,0
py_fail_course,Python,Concatenation,0
py_fail_course,Python,HandlingInput,5
py_fail_course,Python,Printing,5
py_fail_course,Python,Importing,0
py_fail_course,HandlingObjectOrientedProgramming,DefiningClass,0
py_fail_course,HandlingObjectOrientedProgramming,DefiningOOPMethod,0
py_fail_course,HandlingObjectOrientedProgramming,CallingOOPMethod,0
py_fail_course,HandlingObjectOrientedProgramming,CreatingObject,0
py_fail_course,HandlingError,HandlingSpecificError,0
py_fail_course,HandlingError,HandlingGeneralError,0
py_fail_course,HandlingAdvancedDataStructure,LinkedListTask,0
py_fail_course,HandlingAdvancedDataStructure,StackTask,0
py_fail_course,HandlingAdvancedDataStructure,BinaryTreeTask,0
py_fail_course,HandlingAdvancedDataStructure,QueueTask,0
py_fail_course,TwoDimensionalArrayTask,ReplacingElement2DArray,0
py_fail_course,TwoDimensionalArrayTask,Indexing2DArray,0
py_fail_course,TwoDimensionalArrayTask,Create2DArray,0
py_fail_course,NonNestedIteration,SingleWhileLoopIteration,0
py_fail_course,NonNestedIteration,SingleForLoopIteration,0
py_fail_course,WhileLoopWithUpdate,WhileLoopWith+=,0
py_fail_course,WhileLoopWithUpdate,WhileLoopWith*=,0
py_fail_course,WhileLoopWithUpdate,WhileLoopWithListIndexing,0
py_fail_course,NestedLoopIteration,MixedNestedLoopIteration,0
py_fail_course,NestedLoopIteration,NestedWhileLoopIteration,0
py_fail_course,NestedLoopIteration,NestedForLoopIteration,0
py_fail_course,ForLoopWithUpdate,ForLoopWith*=,0
py_fail_course,ForLoopWithUpdate,ForLoopWithListIndexing,0
py_fail_course,ForLoopWithUpdate,ForLoopWith+=,0
py_fail_course,HandlingFunction,CallingFunctionLibrary,5
py_fail_course,HandlingFunction,NestedFunctionCall,0
py_fail_course,HandlingNestedFunction,CallingNestedFunction,0
py_fail_course,HandlingNestedFunction,DefiningNestedFunction,0
py_fail_course,HandlingFunctionCallingFunction,DefiningFunctionCallingFunction,0
py_fail_course,HandlingFunctionCallingFunction,CallingFunctionCallingFunction,0
py_fail_course,HandlingStandardFunction,DefiningStandardFunction,0
