exercise_name,parent,leaf,score
ps_hello,BuiltInFunction,min(),0
ps_hello,BuiltInFunction,tuple(),0
ps_hello,BuiltInFunction,open(),0
ps_hello,BuiltInFunction,input(),0
ps_hello,BuiltInFunction,next(),0
ps_hello,BuiltInFunction,range(),0
ps_hello,BuiltInFunction,str(),4
ps_hello,BuiltInFunction,float(),0
ps_hello,BuiltInFunction,int(),0
ps_hello,BuiltInFunction,round(),0
ps_hello,BuiltInFunction,dict(),0
ps_hello,BuiltInFunction,list(),0
ps_hello,BuiltInFunction,print(),5
ps_hello,BuiltInFunction,abs(),0
ps_hello,BuiltInFunction,set(),0
ps_hello,BuiltInFunction,max(),0
ps_hello,BuiltInFunction,len(),0
ps_hello,StringMethod,rstrip(),0
ps_hello,StringMethod,format(),0
ps_hello,StringMethod,split(),0
ps_hello,StringMethod,capitalize(),0
ps_hello,StringMethod,lower(),0
ps_hello,StringMethod,replace(),0
ps_hello,StringMethod,join(),0
ps_hello,ClassMethod,__init()__,0
ps_hello,FileMethod,readline(),0
ps_hello,FileMethod,read(),0
ps_hello,FileMethod,close(),0
ps_hello,ListMethod,append(),0
ps_hello,ListMethod,reverse(),0
ps_hello,ListMethod,insert(),0
ps_hello,ListMethod,pop(),0
ps_hello,ListMethod,remove(),0
ps_hello,DictionaryMethod,keys(),0
ps_hello,DictionaryMethod,values(),0
ps_hello,DictionaryMethod,items(),0
ps_hello,DictionaryMethod,get(),0
ps_hello,Error,FileNotFoundError,0
ps_hello,Error,TypeError,0
ps_hello,Error,OSError,0
ps_hello,Error,ValueError,0
ps_hello,Error,AssertionError,0
ps_hello,Error,IndexError,0
ps_hello,Error,IOError,0
ps_hello,Literal,NoneLiteral,5
ps_hello,Literal,StringLiteral,5
ps_hello,Literal,BooleanLiteral,0
ps_hello,NumericLiteral,IntegerLiteral,0
ps_hello,NumericLiteral,FloatLiteral,0
ps_hello,LiteralCollection,SetLiteral,0
ps_hello,LiteralCollection,ListLiteral,0
ps_hello,LiteralCollection,TupleLiteral,0
ps_hello,LiteralCollection,DictLiteral,0
ps_hello,Call,FunctionCall,5
ps_hello,SubscriptExpression,IndexingExpression,0
ps_hello,SubscriptExpression,SlicingExpression,0
ps_hello,LogicalExpression,BooleanExpression,0
ps_hello,LogicalExpression,ComparisonExpression,0
ps_hello,ArithmeticExpression,UnaryOperation,0
ps_hello,ArithmeticExpression,BinaryOperation,0
