batch_id,gold_view,threshold,precision_macro,recall_macro,f1_macro,jaccard_macro,exact_accuracy_macro,precision_micro,recall_micro,f1_micro,jaccard_micro
batch_68c7e9895c0c819092f2bc941852cf31,parser,5,0.8721,0.8338,0.8474,0.7512,0.0455,0.8638,0.8412,0.8524,0.7427
batch_68cc27c5c510819083dd410d191c0112,parser,5,0.8721,0.8300,0.8453,0.7482,0.0379,0.8653,0.8389,0.8519,0.7420
batch_68cc27d00b708190ac63afd1892258cb,parser,5,0.8713,0.8370,0.8491,0.7540,0.0455,0.8656,0.8446,0.8550,0.7467
batch_68cc27d855108190b9b0ebb03d01c76e,parser,5,0.8737,0.8371,0.8507,0.7567,0.0455,0.8687,0.8472,0.8578,0.7510
batch_68cc324e6ce48190bbea5022c9d7af4b,parser,5,0.8770,0.8336,0.8496,0.7550,0.0417,0.8692,0.8435,0.8562,0.7485
combined_stats_window_10_code_with_problems,parser,5,0.8726,0.8585,0.8613,0.7721,0.0455,0.8667,0.8699,0.8683,0.7673
batch_68c7e9895c0c819092f2bc941852cf31,parser,4,0.8261,0.9282,0.8700,0.7861,0.0985,0.8180,0.9246,0.8680,0.7668
batch_68cc27c5c510819083dd410d191c0112,parser,4,0.8239,0.9280,0.8691,0.7846,0.0682,0.8174,0.9246,0.8677,0.7663
batch_68cc27d00b708190ac63afd1892258cb,parser,4,0.8238,0.9300,0.8701,0.7868,0.0871,0.8166,0.9263,0.8680,0.7668
batch_68cc27d855108190b9b0ebb03d01c76e,parser,4,0.8218,0.9308,0.8695,0.7860,0.0795,0.8157,0.9283,0.8684,0.7673
batch_68cc324e6ce48190bbea5022c9d7af4b,parser,4,0.8269,0.9293,0.8716,0.7892,0.0985,0.8202,0.9280,0.8708,0.7711
combined_stats_window_10_code_with_problems,parser,4,0.8209,0.9491,0.8777,0.7976,0.0833,0.8152,0.9476,0.8764,0.7800
batch_68c7e9895c0c819092f2bc941852cf31,parser,3,0.7950,0.9339,0.8551,0.7628,0.0758,0.7892,0.9300,0.8538,0.7449
batch_68cc27c5c510819083dd410d191c0112,parser,3,0.7957,0.9330,0.8553,0.7631,0.0455,0.7898,0.9294,0.8540,0.7452
batch_68cc27d00b708190ac63afd1892258cb,parser,3,0.7979,0.9362,0.8579,0.7676,0.0682,0.7921,0.9323,0.8565,0.7490
batch_68cc27d855108190b9b0ebb03d01c76e,parser,3,0.7936,0.9371,0.8558,0.7641,0.0492,0.7884,0.9343,0.8552,0.7470
batch_68cc324e6ce48190bbea5022c9d7af4b,parser,3,0.7993,0.9359,0.8586,0.7688,0.0682,0.7934,0.9343,0.8581,0.7514
combined_stats_window_10_code_with_problems,parser,3,0.7946,0.9527,0.8635,0.7749,0.0606,0.7888,0.9511,0.8623,0.7580
splits_window_10_code_with_problems/chars_bin=0,parser,5,0.8974,0.8566,0.8707,0.7798,0.0758,0.8832,0.8624,0.8727,0.7741
splits_window_10_code_with_problems/chars_bin=1,parser,5,0.8543,0.8670,0.8583,0.7778,0.0229,0.8568,0.8934,0.8747,0.7773
splits_window_10_code_with_problems/comments_bin=0,parser,5,0.8864,0.8610,0.8680,0.7753,0.0580,0.8723,0.8690,0.8707,0.7710
splits_window_10_code_with_problems/comments_bin=1,parser,5,0.8644,0.8626,0.8608,0.7827,0.0400,0.8622,0.8916,0.8766,0.7804
splits_window_10_code_with_problems/length_lines_bin=0,parser,5,0.8982,0.8515,0.8687,0.7762,0.0629,0.8860,0.8558,0.8706,0.7709
splits_window_10_code_with_problems/length_lines_bin=1,parser,5,0.8494,0.8740,0.8595,0.7819,0.0333,0.8534,0.9006,0.8763,0.7799
splits_window_10_code_with_problems/chars_bin=0,parser,4,0.8437,0.9763,0.9018,0.8285,0.1288,0.8298,0.9757,0.8969,0.8130
splits_window_10_code_with_problems/chars_bin=1,parser,4,0.8041,0.9290,0.8601,0.7802,0.0458,0.8058,0.9498,0.8719,0.7728
splits_window_10_code_with_problems/comments_bin=0,parser,4,0.8374,0.9703,0.8956,0.8185,0.1159,0.8237,0.9687,0.8903,0.8023
splits_window_10_code_with_problems/comments_bin=1,parser,4,0.8092,0.9333,0.8649,0.7890,0.0560,0.8080,0.9525,0.8743,0.7767
splits_window_10_code_with_problems/length_lines_bin=0,parser,4,0.8455,0.9720,0.9009,0.8269,0.1399,0.8341,0.9700,0.8969,0.8131
splits_window_10_code_with_problems/length_lines_bin=1,parser,4,0.7984,0.9297,0.8574,0.7778,0.0250,0.8011,0.9523,0.8702,0.7702
splits_window_10_code_with_problems/chars_bin=0,parser,3,0.8153,0.9810,0.8865,0.8037,0.0985,0.7987,0.9809,0.8804,0.7864
splits_window_10_code_with_problems/chars_bin=1,parser,3,0.7799,0.9316,0.8469,0.7594,0.0305,0.7823,0.9521,0.8589,0.7527
splits_window_10_code_with_problems/comments_bin=0,parser,3,0.8113,0.9750,0.8818,0.7961,0.0797,0.7961,0.9737,0.8760,0.7793
splits_window_10_code_with_problems/comments_bin=1,parser,3,0.7826,0.9359,0.8501,0.7656,0.0480,0.7825,0.9546,0.8600,0.7544
splits_window_10_code_with_problems/length_lines_bin=0,parser,3,0.8145,0.9774,0.8847,0.8008,0.0979,0.8002,0.9760,0.8794,0.7848
splits_window_10_code_with_problems/length_lines_bin=1,parser,3,0.7775,0.9313,0.8454,0.7587,0.0250,0.7801,0.9538,0.8583,0.7517
