batch_id,gold_view,threshold,precision_macro,recall_macro,f1_macro,jaccard_macro,exact_accuracy_macro,precision_micro,recall_micro,f1_micro,jaccard_micro
batch_68c7da3a46988190a3b1a28749b177cd,parser,5,0.8937,0.8823,0.8849,0.8092,0.0909,0.8904,0.8876,0.8890,0.8002
batch_68cc270a5b2c8190b39d18144611eb86,parser,5,0.8918,0.8854,0.8854,0.8108,0.1098,0.8896,0.8899,0.8897,0.8014
batch_68cc2730b2f8819084477668ce534a9f,parser,5,0.8959,0.8847,0.8871,0.8130,0.0985,0.8923,0.8884,0.8903,0.8024
batch_68cc273aca808190bef3ed8dab21077a,parser,5,0.8961,0.8851,0.8872,0.8134,0.1098,0.8931,0.8896,0.8914,0.8040
batch_68cc2741cd248190990d844129bc0f34,parser,5,0.8923,0.8832,0.8844,0.8088,0.0985,0.8884,0.8879,0.8881,0.7988
combined_stats_window_5_code_with_problems,parser,5,0.8937,0.8892,0.8884,0.8155,0.1136,0.8904,0.8944,0.8924,0.8057
batch_68c7da3a46988190a3b1a28749b177cd,parser,4,0.8607,0.9468,0.8993,0.8325,0.1553,0.8545,0.9459,0.8979,0.8147
batch_68cc270a5b2c8190b39d18144611eb86,parser,4,0.8640,0.9450,0.9000,0.8338,0.1364,0.8571,0.9454,0.8991,0.8166
batch_68cc2730b2f8819084477668ce534a9f,parser,4,0.8653,0.9455,0.9010,0.8352,0.1326,0.8584,0.9454,0.8998,0.8178
batch_68cc273aca808190bef3ed8dab21077a,parser,4,0.8652,0.9452,0.9005,0.8346,0.1515,0.8577,0.9451,0.8993,0.8170
batch_68cc2741cd248190990d844129bc0f34,parser,4,0.8632,0.9435,0.8988,0.8319,0.1477,0.8554,0.9431,0.8971,0.8135
combined_stats_window_5_code_with_problems,parser,4,0.8628,0.9503,0.9018,0.8366,0.1477,0.8551,0.9505,0.9003,0.8186
batch_68c7da3a46988190a3b1a28749b177cd,parser,3,0.8251,0.9502,0.8799,0.8008,0.0947,0.8201,0.9499,0.8803,0.7862
batch_68cc270a5b2c8190b39d18144611eb86,parser,3,0.8235,0.9516,0.8797,0.8006,0.0795,0.8202,0.9516,0.8810,0.7874
batch_68cc2730b2f8819084477668ce534a9f,parser,3,0.8244,0.9517,0.8802,0.8011,0.0682,0.8218,0.9516,0.8820,0.7889
batch_68cc273aca808190bef3ed8dab21077a,parser,3,0.8271,0.9502,0.8809,0.8022,0.0947,0.8232,0.9502,0.8822,0.7892
batch_68cc2741cd248190990d844129bc0f34,parser,3,0.8261,0.9496,0.8798,0.8010,0.0909,0.8212,0.9491,0.8805,0.7866
combined_stats_window_5_code_with_problems,parser,3,0.8221,0.9545,0.8799,0.8008,0.0871,0.8183,0.9548,0.8813,0.7877
splits_window_5_code_with_problems/chars_bin=0,parser,5,0.9121,0.9014,0.9032,0.8320,0.1894,0.9010,0.9043,0.9027,0.8226
splits_window_5_code_with_problems/chars_bin=1,parser,5,0.8819,0.8838,0.8803,0.8126,0.0458,0.8837,0.9071,0.8952,0.8103
splits_window_5_code_with_problems/comments_bin=0,parser,5,0.9135,0.9001,0.9033,0.8320,0.1739,0.9011,0.9023,0.9017,0.8210
splits_window_5_code_with_problems/comments_bin=1,parser,5,0.8790,0.8844,0.8791,0.8118,0.0560,0.8815,0.9092,0.8951,0.8102
splits_window_5_code_with_problems/length_lines_bin=0,parser,5,0.9137,0.8958,0.9008,0.8278,0.1748,0.9032,0.8972,0.9002,0.8185
splits_window_5_code_with_problems/length_lines_bin=1,parser,5,0.8773,0.8888,0.8811,0.8158,0.0500,0.8810,0.9127,0.8966,0.8126
splits_window_5_code_with_problems/chars_bin=0,parser,4,0.8803,0.9741,0.9210,0.8602,0.2197,0.8620,0.9742,0.9147,0.8428
splits_window_5_code_with_problems/chars_bin=1,parser,4,0.8518,0.9335,0.8893,0.8267,0.0840,0.8506,0.9555,0.9000,0.8182
splits_window_5_code_with_problems/comments_bin=0,parser,4,0.8771,0.9656,0.9157,0.8511,0.1884,0.8589,0.9649,0.9088,0.8329
splits_window_5_code_with_problems/comments_bin=1,parser,4,0.8540,0.9409,0.8936,0.8352,0.1120,0.8519,0.9610,0.9032,0.8234
splits_window_5_code_with_problems/length_lines_bin=0,parser,4,0.8871,0.9698,0.9230,0.8631,0.2098,0.8721,0.9693,0.9181,0.8486
splits_window_5_code_with_problems/length_lines_bin=1,parser,4,0.8411,0.9348,0.8840,0.8202,0.0833,0.8425,0.9579,0.8965,0.8124
splits_window_5_code_with_problems/chars_bin=0,parser,3,0.8233,0.9768,0.8885,0.8077,0.1288,0.8044,0.9772,0.8824,0.7895
splits_window_5_code_with_problems/chars_bin=1,parser,3,0.8272,0.9393,0.8780,0.8076,0.0534,0.8277,0.9607,0.8892,0.8006
splits_window_5_code_with_problems/comments_bin=0,parser,3,0.8292,0.9693,0.8895,0.8085,0.1159,0.8128,0.9687,0.8839,0.7920
splits_window_5_code_with_problems/comments_bin=1,parser,3,0.8208,0.9458,0.8764,0.8066,0.0640,0.8230,0.9658,0.8887,0.7997
splits_window_5_code_with_problems/length_lines_bin=0,parser,3,0.8306,0.9740,0.8917,0.8122,0.1189,0.8146,0.9740,0.8872,0.7973
splits_window_5_code_with_problems/length_lines_bin=1,parser,3,0.8188,0.9392,0.8732,0.8022,0.0583,0.8211,0.9619,0.8860,0.7953


splits_window_5_code_with_problems/chars_bin=0,parser,3,0.8233,0.9768,0.8885,0.8077,0.1288,0.8044,0.9772,0.8824,0.7895
splits_window_5_code_with_problems/chars_bin=1,parser,3,0.8272,0.9393,0.8780,0.8076,0.0534,0.8277,0.9607,0.8892,0.8006
splits_window_5_code_with_problems/comments_bin=0,parser,3,0.8292,0.9693,0.8895,0.8085,0.1159,0.8128,0.9687,0.8839,0.7920
splits_window_5_code_with_problems/comments_bin=1,parser,3,0.8208,0.9458,0.8764,0.8066,0.0640,0.8230,0.9658,0.8887,0.7997
